brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
boody,"@emmapeterson____ ‘s Top Picks from our Black Friday Sale | 30-60% OFF SITEWIDE ✨

Our Black Friday sale is now live in Australia and New Zealand 🇦🇺🇳🇿 

Other regions will go live next week- sign up to our newsletter to be notified first!",12-11-2024,1,12-11-2024,,1,315,12,https://www.instagram.com/p/DCQqeCOxkaI/,
boody,"30-60% OFF SITEWIDE | BLACK FRIDAY SALE ✨

Our Black Friday sale is now live in Australia and New Zealand 🇦🇺 🇳🇿

For other regions, our Black Friday sale will start next week - make sure you're signed up to our newsletter to be notified first ✉️",12-11-2024,1,12-11-2024,,1,40,3,https://www.instagram.com/p/DCRF5klyKqT/,
boody,"30-60% OFF SITEWIDE | BLACK FRIDAY SALE ✨

Our Black Friday sale is now live in Australia and New Zealand 🇦🇺 🇳🇿",11-11-2024,1,11-11-2024,,1,153,51,https://www.instagram.com/p/DCOUNTkSS4E/,
boody,"Matcha and Boody? A match made in heaven 🍵☁️

@biancapatrice_ comfy in our Downtime Lounge Top and Pants in Storm.",09-11-2024,0,,,0,78,7,https://www.instagram.com/p/DCKzU53TpCB/,
boody,"Start your mornings with comfy, good quality underwear ☁️",08-11-2024,0,,,0,99,5,https://www.instagram.com/p/DCIJsaVzloR/,
boody,"You’re invited to the VUSH House Party - Black Friday Edition 🎉

Date: Saturday, 16th Nov, 11am - 4pm AEDT

Location: APT CCC, Level 5 / 222 Clarence St, Sydney NSW 2000, Australia

Join us for a cosy, intimate Black Friday experience filled with free swag bags, VIP guests, and exclusive deals.

The Boody team will be there to help you find your perfect underwear fit, so you can shop with confidence this year during our Black Friday Sales 🛍️

18+ years old only. RSVP required.
Get your tickets now via link in bio 🔗",07-11-2024,0,,,0,63,7,https://www.instagram.com/p/DCFlKYDNvx-/,
boody,"quality sleep is easy with @boody ‘s comfy vegan silk collection and a heavenly massage focusing on restfulness from dreamlabs by @tokyoheadspa 💆🏻‍♀️🤤 

#AD #Boody #TokyoHeadspa #DreamLabs #VeganSilk #Wellness",05-11-2024,0,,,0,-1,54,https://www.instagram.com/p/DB-wK2NJ46H/,
boody,"Our BIGGEST sale is going sitewide soon and absolutely everything is included 👀💚

Click “Remind me” and be the first to know ⬆️",04-11-2024,1,04-11-2024,,1,450,97,https://www.instagram.com/p/DB8I6PaNsmk/,
boody,"To celebrate launching Vegan Silk, we collaborated with @dreamlabsau by @tokyoheadspa to treat the Boody team to a massage experience that encourages quality sleep and restfulness 💤

Dream Labs is a transcendent massage experience that uses tranquil visuals, gentle lights, calming sounds and soothing scents- harmonised with the expert touch of a Japanese head, neck, shoulder and chest massage.

This experience paired with our Vegan Silk sleepwear was a match made in heaven ☁️",03-11-2024,0,,,0,103,4,https://www.instagram.com/p/DB5dyOLui8y/,
boody,"Kind words for our Vegan Silk Collection, thank you @vogue 🤍

Shop now via link in bio 🔗",02-11-2024,0,,,0,67,2,https://www.instagram.com/p/DB2qdvwSqko/,
boody,WE LOVE YOU @badgalriri 💚,01-11-2024,0,,,0,200,19,https://www.instagram.com/p/DBz0NvVMFiP/,
